,century,word,count
5887,1900,you,98
2466,1900,all,91
4536,1900,our,59
5893,1900,your,54
5770,1900,when,42
5464,1900,this,42
5789,1900,who,41
4187,1900,like,41
4469,1900,night,39
5444,1900,their,39
4207,1900,little,39
3093,1900,day,38
4518,1900,one,38
4243,1900,love,37
5653,1900,upon,36
2296,1800,thy,35
5446,1900,then,34
3883,1900,him,32
3377,1900,eyes,31
3821,1900,have,31
5772,1900,where,31
4930,1900,said,30
5445,1900,them,30
5285,1900,still,29
5488,1900,through,28
5880,1900,yet,27
4493,1900,now,27
3708,1900,god,27
5448,1900,there,27
5765,1900,what,27
4329,1900,men,26
5500,1900,thy,25
3378,1900,face,25
3834,1900,heart,24
4972,1900,sea,24
3208,1900,down,24
5802,1900,will,23
4514,1900,old,23
5024,1900,shall,23
3358,1900,every,21
2557,1900,away,21
2816,1900,came,21
3926,1900,how,20
4171,1900,life,20
5352,1900,sun,20
3994,1900,into,20
2818,1900,can,19
5857,1900,would,19
5471,1900,those,19
2627,1900,before,19
4457,1900,never,19
4539,1900,out,19
5056,1900,shore,19
5777,1900,while,19
3859,1900,here,19
4542,1900,over,19
4180,1900,light,19
3479,1900,fire,18
4285,1900,man,18
4082,1900,know,18
3827,1900,head,18
422,600,our,18
5786,1900,white,18
5472,1900,thou,18
5776,1900,which,18
3268,1900,each,17
9,600,all,17
5451,1900,these,17
3718,1900,good,17
4221,1900,long,17
5199,1900,soul,17
1991,1800,little,17
2071,1800,oer,16
2447,1900,again,16
5443,1900,thee,16
3098,1900,dead,15
1654,1800,can,15
4506,1900,oer,15
4986,1900,see,15
3832,1900,heard,15
4951,1900,say,15
4312,1900,may,14
3353,1900,ever,14
1563,1800,all,14
4077,1900,knew,14
5182,1900,some,14
5677,1900,very,14
3276,1900,earth,14
4521,1900,only,14
1985,1800,like,14
4269,1900,made,13
3102,1900,dear,13
3005,1900,could,13
3422,1900,fear,13
5505,1900,till,13
2757,1900,bright,13
2959,1900,come,13
4104,1900,land,13
3919,1900,hour,13
3790,1900,hand,13
5422,1900,tell,13
4828,1900,rest,13
3104,1900,death,12
2081,1800,our,12
4948,1900,saw,12
4200,1900,lips,12
4225,1900,look,12
3781,1900,hair,12
5756,1900,well,12
4780,1900,red,12
3376,1900,eye,12
4549,1900,own,12
2211,1800,sleep,12
4390,1900,most,12
3872,1900,high,12
2278,1800,their,12
4482,1900,none,12
2280,1800,then,12
2409,1800,your,12
5690,1900,voice,12
3148,1900,did,11
3081,1900,dark,11
5086,1900,side,11
4044,1900,joy,11
4382,1900,more,11
2063,1800,nor,11
2527,1900,around,11
4364,1900,mist,11
4553,1900,pain,11
5892,1900,young,11
2502,1900,any,11
4160,1900,let,11
3389,1900,fair,11
5759,1900,went,11
5251,1900,stand,11
5794,1900,whose,11
5735,1900,waves,11
3811,1900,has,11
5473,1900,though,11
2367,1800,while,10
4888,1900,rose,10
5012,1900,set,10
2417,1900,above,10
2743,1900,breast,10
4127,1900,lay,10
4347,1900,might,10
3222,1900,dream,10
5097,1900,silent,10
4356,1900,mine,10
2700,1900,blue,10
5130,1900,sleep,10
2364,1800,when,10
5096,1900,silence,10
2456,1900,air,10
2279,1800,them,10
1913,1800,heart,10
3831,1900,hear,10
4504,1900,ocean,9
3842,1900,heaven,9
5021,1900,shadows,9
5126,1900,sky,9
2652,1900,beside,9
3034,1900,cried,9
1719,1800,deep,9
5062,1900,should,9
4946,1900,save,9
5736,1900,way,9
2649,1900,beneath,9
4417,1900,must,9
3668,1900,give,9
5526,1900,too,9
5439,1900,than,9
5474,1900,thought,9
3091,1900,dawn,9
5479,1900,three,9
3416,1900,father,9
2810,1900,call,9
4690,1900,pray,9
5851,1900,world,8
4485,1900,nor,8
4280,1900,makes,8
1945,1800,john,8
4279,1900,make,8
2619,1900,beauty,8
5806,1900,wind,8
2365,1800,where,8
1983,1800,light,8
2524,1900,arms,8
3406,1900,far,8
2068,1800,now,8
3751,1900,green,8
1709,1800,day,8
5850,1900,work,8
4293,1900,many,8
3336,1900,ere,8
3754,1900,grew,8
1513,1700,when,8
4244,1900,loved,8
2484,1900,among,8
2261,1800,sun,8
5599,1900,turn,8
3116,1900,deep,8
4994,1900,seen,8
1028,1700,all,8
4433,1900,name,8
2030,1800,might,8
2670,1900,black,8
3612,1900,full,8
4373,1900,moment,8
4377,1900,moon,8
4893,1900,round,8
3095,1900,days,8
1560,1800,again,8
1269,1700,love,8
4640,1900,place,8
2473,1900,along,8
2290,1800,thou,8
4209,1900,live,8
1758,1800,each,8
1714,1800,death,8
3471,1900,find,8
2777,1900,brown,7
3783,1900,half,7
3433,1900,feel,7
2920,1900,clear,7
5180,1900,solway,7
