,century,word,count
6829,1900,you,99
6835,1900,your,61
5399,1900,our,60
6357,1900,their,48
6709,1900,when,44
5027,1900,like,43
6377,1900,this,42
6729,1900,who,42
5329,1900,night,40
5086,1900,love,40
5049,1900,little,40
3887,1900,day,39
5381,1900,one,39
6580,1900,upon,39
3053,1800,thy,37
4650,1900,have,34
6359,1900,then,34
6711,1900,where,34
4179,1900,eyes,32
4714,1900,him,32
5918,1900,shall,31
6191,1900,still,31
6358,1900,them,31
5355,1900,now,31
5819,1900,said,30
6404,1900,through,29
6704,1900,what,29
6361,1900,there,29
6822,1900,yet,28
4531,1900,god,27
5180,1900,men,26
6416,1900,thy,26
4180,1900,face,25
4006,1900,down,25
5865,1900,sea,24
6743,1900,will,24
4663,1900,heart,24
5377,1900,old,24
5317,1900,never,22
3599,1900,came,22
4160,1900,every,21
4758,1900,how,21
6262,1900,sun,21
4689,1900,here,21
3330,1900,away,21
5011,1900,life,20
6725,1900,white,20
5020,1900,light,20
3602,1900,can,20
5063,1900,long,20
6716,1900,while,20
6798,1900,would,20
4829,1900,into,20
6384,1900,those,20
5129,1900,man,19
4919,1900,know,19
5402,1900,out,19
5405,1900,over,19
4067,1900,each,19
3401,1900,before,19
5953,1900,shore,19
5369,1900,oer,19
2716,1800,like,18
421,600,our,18
6385,1900,thou,18
6715,1900,which,18
4656,1900,head,18
4287,1900,fire,18
6101,1900,soul,17
2722,1800,little,17
4541,1900,good,17
3892,1900,dead,17
6364,1900,these,17
5879,1900,see,16
5345,1900,nor,16
6356,1900,thee,16
2811,1800,oer,16
2239,1700,you,16
4914,1900,knew,16
3215,1900,again,16
4661,1900,heard,16
5113,1900,made,16
4155,1900,ever,15
5712,1900,rest,15
5160,1900,may,15
4637,1900,has,15
2353,1800,can,15
5842,1900,say,15
3796,1900,could,14
6334,1900,tell,14
5235,1900,more,14
5384,1900,only,14
6607,1900,very,14
6695,1900,well,14
3896,1900,dear,14
5661,1900,red,14
4606,1900,hair,14
4751,1900,hour,14
5042,1900,lips,14
4942,1900,land,14
6083,1900,some,14
4076,1900,earth,14
4227,1900,fear,13
3898,1900,death,13
3747,1900,come,13
3537,1900,bright,13
5067,1900,look,13
4616,1900,hand,13
5416,1900,pain,13
6421,1900,till,13
4192,1900,fair,13
3035,1800,their,13
5412,1900,own,13
5342,1900,none,12
3273,1900,any,12
3037,1800,then,12
2960,1800,sleep,12
3132,1800,when,12
6621,1900,voice,12
3875,1900,dark,12
4178,1900,eye,12
3177,1800,your,12
4703,1900,high,12
2821,1800,our,12
5839,1900,saw,12
5244,1900,most,12
3047,1800,thou,11
2635,1800,heart,11
2803,1800,nor,11
5984,1900,side,11
2242,1700,your,11
3944,1900,did,11
6156,1900,stand,11
6698,1900,went,11
3299,1900,around,11
4966,1900,lay,11
1037,700,you,11
3185,1900,above,11
6386,1900,though,11
5216,1900,mist,11
6446,1900,too,11
4879,1900,joy,11
6674,1900,waves,11
6834,1900,young,11
5995,1900,silent,11
6352,1900,than,11
3523,1900,breast,11
3224,1900,air,11
5000,1900,let,11
2123,1700,then,11
6734,1900,whose,11
6024,1900,sky,11
4020,1900,dream,11
5137,1900,many,11
3885,1900,dawn,10
3424,1900,beneath,10
4660,1900,hear,10
6392,1900,three,10
5198,1900,might,10
5906,1900,set,10
3036,1800,them,10
3592,1900,call,10
6387,1900,thought,10
5272,1900,must,10
3479,1900,blue,10
6028,1900,sleep,10
5207,1900,mine,10
5994,1900,silence,10
5837,1900,save,10
3135,1800,while,10
5774,1900,rose,10
4575,1900,green,10
4491,1900,give,9
1868,1700,love,9
4671,1900,heaven,9
4221,1900,father,9
5366,1900,ocean,9
6675,1900,way,9
3826,1900,cried,9
2415,1800,death,9
4211,1900,far,9
2420,1800,deep,9
2196,1700,when,9
2254,1800,again,9
