,title,author,date,category,line
0,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems, GLEAM 
1,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,a gleam  from Idas height
2,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,By the Firegod sent it came
3,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,From watch to watch it leapt that light
4,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,As a rider rode the flame
5,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,It shot through the startled sky
6,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And the torch of that blazing glory
7,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Old Lemnos caught on high
8,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,On its holy promontory
9,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And sent it on the jocund sign
10,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,To Athos Mount of Jove divine
11,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Wildly the while it rose from the isle
12,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,So that the might of the journeying Light
13,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Skimmed over the back of the gleaming brine
14,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Farther and faster speeds it on
15,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Till the watch that keeps Macistus steep
16,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,See it burst like a blazing Sun
17,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Doth Macistus sleep
18,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,On his towerclad steep
19,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,No rapid and red doth the wild fire sweep
20,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,It flashes afar on the wayward stream
21,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Of the wild Euripus the rushing beam
22,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,It rouses the light on Messapions height
23,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And they feed its breath with the withered heath
24,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,But it may not stay
25,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And away  away 
26,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,It bounds in its freshening might
27,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Silent and soon
28,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Like a broadened moon
29,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,It passes in sheen Asopus green
30,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And bursts on Cithaeron gray
31,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,The warder wakes to the Signalrays
32,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And it swoops from the hill with a broader blaze
33,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,On on the fiery Glory rode
34,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Thy lonely lake Gorgopis glowed
35,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,To Megaras Mount it came
36,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,They feed it again
37,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And it streams amain
38,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,A giant beard of Flame
39,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,The headland cliffs that darkly down
40,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Oer the Saronic waters frown
41,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Are passed with the Swift Ones lurid stride
42,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And the huge rock glares on the glaring tide
43,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,With mightier march and fiercer power
44,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,It gained Arachnes neighboring tower
45,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Thence on our Argive roof its rest it won
46,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Of Idas fire the longdescended Son
47,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Bright Harbinger of glory and of joy
48,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,So first and last with equal honor crowned
49,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,In solemn feasts the racetorch circles round 
50,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,And these my heralds  this my SIGN OF PEACE
51,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,Lo while we breathe the victor lords of Greece
52,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,"Stalk in stern tumult through the halls of Troy
                    "
53,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems, DREAM it
54,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems,was in which I found myself
55,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems,And you that hail me now then hailed me king
56,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems,In a brave palace that was all my own
57,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems,Within and all without it mine until
58,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems,Drunk with excess of majesty and pride
59,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems,Methought I towered so big and swelled so wide
60,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems,That of myself I burst the glittering bubble
61,THE DREAM CALLED LIFE,Pedro Calderón                    de la Barca (1600-1681),1600,Dramatic Poems,Which my ambition had about me blown
