,title,author,date,category,word,count
1247,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,our,18
4100,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,her,18
3724,THE SWIMMERS,George Sterling (1869-1926),1869,Narrative Poems,our,14
496,"THE SACRIFICE OF IPHIGENIA (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,her,13
5837,"LALILA, TO THE FERENGI LOVER",slated into English by: Laurence Hope (1865-1904),1865,"Poems
                              on Children",you,13
5103,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems for Children,you,13
6873,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,love,12
3053,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,her,12
3133,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,little,12
1446,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,his,12
4725,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,all,12
625,"SONG OF THE FURIES (from ""The Eumenides"")",Aeschylus,525,Dramatic Poems,our,12
9323,BATTLE OF FONTENOY,Bartholomew Dowling (1823-1863),1823,Poems on War,our,11
7877,POE'S COTTAGE AT FORDHAM,John Henry Boner (1845-1903),1845,Poems on Poetry,here,10
3443,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,his,10
1311,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,their,10
1297,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,came,10
2967,THE BALCONY,Charles Baudelaire,1820,Love Poems,your,9
8111,TO A LADY WHO SPOKE SLIGHTINGLY OF POETS,Washington Allston (1779-1843),1779,Poems on Poetry,thy,9
5992,OUR LITTLE GHOST,Louisa May Alcott (1832-1888),1832,"Poems
                              on Children",little,9
5021,BESSIE'S SONG TO HER DOLL,Lewis Carroll (1832-1898),1832,Poems for Children,you,9
3109,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,his,9
3086,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,him,9
4981,CRADLE SONG,William Blake (1757-1827),1757,Poems for Children,thy,8
4714,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,over,8
4115,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,like,8
7393,"JOHN ANDERSON, MY JO",Robert Burns (1759-1796),1759,Poems on Old Age,john,8
6848,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,where,8
6960,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,her,8
2293,A BUBBLE,Ambrose Bierce (1842-1914),1863,Humorous Poems,she,8
5743,CRADLE SONG,William Blake (1757-1827),1757,"Poems
                              on Children",thy,8
1013,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,men,8
5229,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,his,8
8363,THE DANCE OF DEATH,Charles Baudelaire,1821,Poems on the Supernatural,your,8
3082,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,she,8
6849,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,she,7
5460,PALINODE,"Thomas Bailey Aldrich
                    (1836-1906)",1836,Poems for Weddings,you,7
1080,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,his,7
2498,THE EMBARRASSING EPISODE OF LITTLE MISS MUFFET,"Guy Wetmore Carryl
                    (1873-1904)",1832,Humorous Poems,her,7
5843,"LALILA, TO THE FERENGI LOVER",slated into English by: Laurence Hope (1865-1904),1865,"Poems
                              on Children",your,7
8274,THE DANCE OF DEATH,Charles Baudelaire,1821,Poems on the Supernatural,her,7
5095,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems for Children,said,7
1267,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,before,7
2551,THE EMBARRASSING EPISODE OF LITTLE MISS MUFFET,"Guy Wetmore Carryl
                    (1873-1904)",1832,Humorous Poems,you,7
4090,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,solway,7
8039,TO A LADY WHO SPOKE SLIGHTINGLY OF POETS,Washington Allston (1779-1843),1779,Poems on Poetry,can,7
2865,BALADE,Geoffrey Chaucer (1342?-1400),1821,Love Poems,thy,7
6167,"AND THOU ART DEAD, AS YOUNG AND FAIR","George Gordon (Lord)
                    Byron (1788-1824)",1788,Poems on Death,nor,7
9012,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,victory,7
