,title,author,date,category,word,count
0,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,gleam,2
1,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,from,4
2,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,idas,2
3,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,height,2
4,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,the,31
5,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,firegod,1
6,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,sent,2
7,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,came,2
8,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,watch,3
9,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,leapt,1
10,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,that,5
11,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,light,3
12,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,rider,1
13,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,rode,2
14,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,flame,2
15,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,shot,1
16,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,through,2
17,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,startled,1
18,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,sky,1
19,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,and,15
20,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,torch,1
21,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,blazing,2
22,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,glory,3
23,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,old,1
24,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,lemnos,1
25,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,caught,1
26,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,high,1
27,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,its,4
28,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,holy,1
29,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,promontory,1
30,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,jocund,1
31,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,sign,2
32,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,athos,1
33,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,mount,2
34,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,jove,1
35,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,divine,1
36,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,wildly,1
37,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,while,2
38,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,rose,1
39,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,isle,1
40,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,might,2
41,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,journeying,1
42,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,skimmed,1
43,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,over,1
44,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,back,1
45,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,gleaming,1
46,"THE BEACON FIRES (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,brine,1
