,title,author,date,category,word,count
1233,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,our,18
3673,THE SWIMMERS,George Sterling (1869-1926),1869,Narrative Poems,our,14
5760,"LALILA, TO THE FERENGI LOVER",Laurence Hope,1865,Poems on Children,you,13
5040,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems on Children,you,13
3088,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,little,12
6780,THE DESOLATE CITY,Wilfrid Scawen Blunt                    (1840-1922),1840,Poems on Loneliness,love,12
617,"SONG OF THE FURIES (from ""The Eumenides"")",Aeschylus,525,Dramatic Poems,our,12
9196,BATTLE OF FONTENOY,Bartholomew Dowling (1823-1863),1823,Poems on War,our,11
1283,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,came,10
9829,"EPILOGUE TO ""THE COUNTRY WIFE""",William Wycherley (1641-1715),1641,None,you,10
1297,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,their,10
7772,POE'S COTTAGE AT FORDHAM,John Henry Boner (1845-1903),1845,Poems on Poetry,here,10
2925,THE BALCONY,Charles Baudelaire,1820,Love Poems,your,9
9830,THE BIVOUAC OF THE DEAD,Theodore O'Hara (1820-1867),1800,None,their,9
3042,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,him,9
4960,BESSIE'S SONG TO HER DOLL,Lewis Carroll (1832-1898),1832,Poems on Children,you,9
5912,OUR LITTLE GHOST,Louisa May Alcott (1832-1888),1832,Poems on Children,little,9
8001,TO A LADY WHO SPOKE SLIGHTINGLY OF POETS,Washington Allston (1779-1843),1779,Poems on Poetry,thy,9
9831,HERMOCRATES TO EUPHORION,Aristaenetus,600,None,you,9
8250,THE DANCE OF DEATH,Charles Baudelaire,1821,Poems on the Supernatural,your,8
4060,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,like,8
4654,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,over,8
5669,CRADLE SONG,William Blake (1757-1827),1757,Poems on Children,thy,8
9833,THE BIVOUAC OF THE DEAD,Theodore O'Hara (1820-1867),1800,None,shall,8
9832,THE BIVOUAC OF THE DEAD,Theodore O'Hara (1820-1867),1800,None,nor,8
6756,THE DESOLATE CITY,Wilfrid Scawen Blunt                    (1840-1922),1840,Poems on Loneliness,where,8
7292,"JOHN ANDERSON, MY JO",Robert Burns (1759-1796),1759,Poems on Old Age,john,8
1000,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,men,8
4920,CRADLE SONG,William Blake (1757-1827),1757,Poems on Children,thy,8
5032,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems on Children,said,7
4609,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,night,7
6046,"AND THOU ART DEAD, AS YOUNG AND FAIR",George Gordon (Lord)                    Byron (1788-1824),1788,Poems on Death,thou,7
4152,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,love,7
